ï»¿Name,latitud,longitud,id_barrio
Abrantes,"4,0379E+15","-3,72617E+16",117.0
Acacias,"4,04011E+15","-3,70726E+16",22.0
Adelfas,"4,04011E+15","-3,67097E+16",32.0
Aeropuerto,"4,04786E+16","-3,56345E+16",212.0
Aguilas,"4,03818E+15","-3,77109E+16",211.0
Alameda de Osuna,"4,04566E+15","-3,59144E+16",211.0
Almagro,"4,04329E+15","-3,69354E+15",74.0
Almenara,"4,04707E+15","-3,69431E+15",64.0
Almendrales,"4,03837E+15","-3,69927E+16",124.0
Aluche,"4,03919E+15","-3,75669E+16",104.0
Amposta,"4,04261E+14","-3,62204E+14",203.0
Apostol Santiago,"4,04764E+16","-3,65942E+15",165.0
Arapiles,"4,04344E+16","-3,70803E+16",72.0
Aravaca,"4,04547E+16","-3,7791E+15",97.0
Arcos,"4,04212E+16","-3,61759E+16",204.0
ArgÃ¼elles,"4,04282E+15","-3,71785E+16",92.0
Atalaya,"4,04643E+16","-3,66494E+15",158.0
Atocha,"4,03998E+15","-3,68193E+16",27.0
Bellas Vistas,"4,04525E+16","-3,70764E+16",61.0
Berruguete,"4,04596E+15","-3,70496E+16",66.0
Buenavista,"4,03671E+15","-3,74608E+16",116.0
Butarque,"4,03371E+14","-3,67625E+16",173.0
Campamento,"4,03852E+15","-3,80366E+15",105.0
Canillas,"4,04638E+16","-3,64371E+15",163.0
Canillejas,"4,04433E+15","-3,61053E+15",207.0
Casa de Campo,"4,04236E+15","-3,75305E+12",91.0
Casco HistÃ³rico de Barajas,"4,0474E+15","-3,57887E+16",213.0
Casco HistÃ³rico de Vallecas,"4,03459E+15","-3,61822E+14",181.0
Casco histÃ³rico de VicÃ¡lvaro,"4,03882E+16","-3,57981E+16",191.0
Castellana,"4,04336E+16","-3,6843E+16",46.0
Castilla,"4,04743E+15","-3,67972E+16",56.0
Castillejos,"4,04604E+15","-3,69416E+16",63.0
Chopera,"4,03948E+15","-3,69907E+16",23.0
Ciudad JardÃ­n,"4,04483E+15","-3,673E+15",53.0
Ciudad Universitaria,"4,0456E+15","-3,7384E+15",93.0
Colina,"4,0458E+15","-3,66031E+16",157.0
Comillas,"4,03935E+15","-3,71196E+15",111.0
ConcepciÃ³n,"4,04393E+15","-3,64928E+15",154.0
Corralejos,"4,04642E+15","-3,60718E+14",215.0
Cortes,"4,04148E+15","-3,69683E+16",13.0
Costillares,"4,04767E+16","-3,66852E+16",159.0
Cuatro Caminos,"4,04515E+16","-3,69704E+16",62.0
Cuatro Vientos,"4,03687E+15","-3,78405E+16",106.0
CÃ¡rmenes,"4,04015E+16","-3,73593E+16",101.0
Delicias,"4,03968E+14","-3,68989E+16",25.0
El CaÃ±averal,"4,04036E+13","-3,54581E+15",194.0
El Goloso,"4,05344E+16","-3,7E+15",88.0
El Pardo,"4,05529E+15","-3,76745E+15",81.0
El PlantÃ­o,"4,04697E+15","-3,82091E+16",96.0
El Viso,"4,04449E+16","-3,68479E+15",51.0
Embajadores,"4,04092E+15","-3,70246E+15",12.0
Ensanche de Vallecas,"4,03664E+16","-3,60245E+16",183.0
EntrevÃ­as,"4,03748E+16","-3,67311E+14",131.0
Estrella,"4,04141E+14","-3,66553E+15",33.0
FontarrÃ³n,"4,04014E+14","-3,64678E+16",145.0
Fuente del Berro,"4,04248E+16","-3,66379E+15",43.0
Fuentelareina,"4,04811E+14","-3,74179E+16",82.0
Gaztambide,"4,0435E+16","-3,71461E+15",71.0
Goya,"4,04251E+15","-3,67442E+15",42.0
Guindalera,"4,04363E+15","-3,66659E+15",44.0
HellÃ­n,"4,04309E+15","-3,61682E+16",202.0
HispanoamÃ©rica,"4,04554E+16","-3,67714E+15",54.0
Horcajo,"4,04086E+16","-3,62694E+16",142.0
Ibiza,"4,04189E+15","-3,67434E+15",34.0
Imperial,"4,04062E+15","-3,71836E+16",21.0
JerÃ³nimos,"4,04137E+16","-3,68514E+16",35.0
Justicia,"4,04237E+15","-3,69668E+16",14.0
La Paz,"4,04811E+15","-3,6966E+16",85.0
Legazpi,"4,03889E+15","-3,6871E+15",24.0
Lista,"4,0432E+16","-3,67583E+15",45.0
Los Angeles,"4,03558E+14","-3,69914E+16",175.0
Los Rosales,"4,03557E+15","-3,68849E+15",174.0
Lucero,"4,04023E+15","-3,75035E+16",103.0
Marroquina,"4,04107E+15","-3,64061E+15",143.0
Media Legua,"4,04119E+15","-3,65682E+16",144.0
Mirasierra,"4,04963E+15","-3,71957E+15",87.0
MoscardÃ³,"4,0389E+16","-3,70682E+16",125.0
NiÃ±o JesÃºs,"4,04116E+16","-3,67343E+15",36.0
Nueva EspaÃ±a,"4,04628E+15","-3,67814E+14",55.0
Numancia,"4,03995E+15","-3,65853E+15",136.0
OpaÃ±el,"4,03902E+16","-3,72178E+16",112.0
Orcasitas,"4,03686E+16","-3,71242E+16",121.0
Orcasur,"4,03722E+14","-3,69812E+16",122.0
PacÃ­fico,"4,04044E+15","-3,67872E+15",31.0
Palacio,"4,04154E+16","-3,71407E+15",11.0
Palomas,"4,04525E+15","-3,61554E+16",161.0
Palomeras Bajas,"4,03848E+16","-3,65888E+16",133.0
Palomeras Sureste,"4,03852E+16","-3,63729E+16",134.0
Palos de Moguer,"4,04035E+16","-3,69462E+16",26.0
Pavones,"4,03985E+15","-3,63217E+15",141.0
PeÃ±agrande,"4,04788E+16","-3,7258E+16",83.0
Pilar,"4,04771E+16","-3,70959E+16",84.0
Pinar del Rey,"4,04725E+16","-3,64703E+15",164.0
Piovera,"4,04557E+15","-3,63508E+15",162.0
Portazgo,"4,03906E+14","-3,64824E+16",135.0
Pradolongo,"4,03781E+16","-3,70712E+16",127.0
Prosperidad,"4,04442E+15","-3,66929E+16",54.0
Pueblo Nuevo,"4,04263E+16","-3,63546E+14",152.0
Puerta Bonita,"4,03797E+15","-3,73909E+14",115.0
Puerta del Angel,"4,04097E+16","-3,7318E+15",102.0
Quintana,"4,0437E+15","-3,64507E+15",153.0
Recoletos,"4,04246E+15","-3,68584E+16",41.0
Rejas,"4,04451E+15","-3,57016E+14",206.0
Rios Rosas,"4,04424E+16","-3,69774E+15",75.0
Rosas,"4,04277E+15","-3,59428E+15",205.0
Salvador,"4,04453E+15","-3,63097E+15",208.0
San Cristobal,"4,03409E+16","-3,68837E+15",172.0
San Diego,"4,039E+15","-3,66787E+16",132.0
San FermÃ­n,"4,03706E+15","-3,68907E+16",123.0
San Isidro,"4,03966E+15","-3,72833E+16",113.0
San Juan Bautista,"4,04507E+15","-3,65636E+16",156.0
San Pascual,"4,04429E+15","-3,65346E+15",155.0
Santa Eugenia,"4,03834E+15","-3,61133E+16",182.0
Simancas,"4,04353E+15","-3,6251E+15",201.0
Sol,"4,04173E+16","-3,70456E+15",16.0
TimÃ³n,"4,04776E+15","-3,60276E+16",214.0
Trafalgar,"4,04329E+15","-3,70113E+15",73.0
Universidad,"4,04257E+15","-3,70707E+16",15.0
Valdeacederas,"4,0467E+15","-3,70416E+15",65.0
Valdebernardo,"4,03966E+15","-3,61763E+16",192.0
Valdefuentes,"4,04937E+15","-3,63587E+15",166.0
ValdemarÃ­n,"4,04681E+15","-3,77891E+15",95.0
Valderrivas,"4,03988E+16","-3,60264E+16",193.0
Valdezarza,"4,04653E+15","-3,7173E+15",94.0
Vallehermoso,"4,04429E+15","-3,71124E+15",76.0
Valverde,"4,05002E+14","-3,67879E+15",86.0
Ventas,"4,04225E+15","-3,64741E+15",151.0
"Villaverde Alto, Casco HistÃ³rico de Villaverde","4,03414E+15","-3,70895E+16",171.0
Vinateros,"4,04053E+16","-3,64249E+16",146.0
Vista Alegre,"4,03843E+16","-3,74575E+15",114.0
ZofÃ­o,"4,03794E+16","-3,71532E+16",126.0
,,,
,,,
,,,
,,,
,,,
,,,
