nombre_equip,tipo_equip,id_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
Teatro de la Comedia. Compai±i­a Nacional de Teatro Cli¡sico,TEATRO,0,CORTES,13,CENTRO,1,CALLE PRÃNCIPE,14,28012,440577,4474129,40.41566504,-3.700410765
Teatro Real,TEATRO,1,PALACIO,11,CENTRO,1,PLAZA ISABEL II,1,28013,439834,4474367,40.41775568,-3.709190284
Tablao Flamenco Torres Bermejas,TABLAO,2,SOL,16,CENTRO,1,CALLE MESONERO ROMANOS,11,28013,440261,4474600,40.41988541,-3.704179384
Sala Shoko Live,SALA CONCIERTOS,3,PALACIO,11,CENTRO,1,CALLE TOLEDO,86,28005,439707,4473364,40.40871165,-3.710591521
Sala Siroco,SALA CONCIERTOS,4,UNIVERSIDAD,15,CENTRO,1,CALLE MARQUES DE LEGANES,7,28004,439995,4474846,40.42208945,-3.707330171
Sala Tempo Audiophile Club,SALA CONCIERTOS,5,UNIVERSIDAD,15,CENTRO,1,CALLE DUQUE DE OSUNA,8,28015,439610,4475206,40.42529754,-3.711910103
Sala Thundercat,SALA CONCIERTOS,6,JUSTICIA,14,CENTRO,1,CALLE CAMPOAMOR,11,28004,440982,4475298,40.42622384,-3.695739772
Sala Vesta,SALA CONCIERTOS,7,JUSTICIA,14,CENTRO,1,CALLE BARQUILLO,29,28004,440986,4474935,40.42296191,-3.695655946
Sala Bule Bule,SALA CONCIERTOS,8,JUSTICIA,14,CENTRO,1,CALLE MARQUES DE VALDEIGLESIAS,6,28004,440864,4474567,40.41963174,-3.69705818
Tablao Flamenco Cardamomo,TABLAO,9,CORTES,13,CENTRO,1,CALLE ECHEGARAY,15,28014,440650,4474106,40.41546306,-3.699548239
Tablao Flamenco Corral de la Moreri­a,TABLAO,10,PALACIO,11,CENTRO,1,CALLE MORERIA,17,28005,439399,4473810,40.4127064,-3.714264289
Tablao Flamenco Las Carboneras,TABLAO,11,PALACIO,11,CENTRO,1,CALLE CONDE DE MIRANDA,1,28005,439829,4474065,40.41503559,-3.709220191
Sala Beer Station,SALA CONCIERTOS,12,PALACIO,11,CENTRO,1,CUESTA SANTO DOMINGO,22,28013,439897,4474584,40.419718,-3.708463098
Pequei±o Teatro Gran Vi­a,TEATRO,13,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,66,28013,439859,4474883,40.42240577,-3.708956207
Teatro Alfil,TEATRO,14,UNIVERSIDAD,15,CENTRO,1,CALLE PEZ,10,28004,440240,4474963,40.42314489,-3.704472711
Tablao Flamenco Torres Bermejas,TABLAO,15,SOL,16,CENTRO,1,CALLE MESONERO ROMANOS,11,28013,440261,4474600,40.41988541,-3.704179384
Tablao Flamenco Torero,TABLAO,16,SOL,16,CENTRO,1,CALLE CRUZ,26,28012,440382,4474047,40.4149131,-3.702694413
DT Espacio Esci©nico,TEATRO,17,JUSTICIA,14,CENTRO,1,CALLE REINA,9,28004,440593,4474656,40.42040457,-3.700283104
El umbral de la primavera,TEATRO,18,EMBAJADORES,12,CENTRO,1,CALLE PRIMAVERA,11,28012,440573,4473448,40.40952998,-3.700394299
Microteatro Por Dinero,TEATRO,19,UNIVERSIDAD,15,CENTRO,1,CALLE LORETO Y CHICOTE,9,28004,440272,4474782,40.42152574,-3.704066823
Sala Morocco,SALA CONCIERTOS,20,UNIVERSIDAD,15,CENTRO,1,CALLE MARQUES DE LEGANES,7,28004,439995,4474846,40.42208945,-3.707330171
Off Latina,SALA CONCIERTOS,21,PALACIO,11,CENTRO,1,CALLE MANCEBOS,4,28005,439592,4473735,40.4120448,-3.71198257
Sala Cardamomo,SALA CONCIERTOS,22,CORTES,13,CENTRO,1,CALLE ECHEGARAY,15,28014,440650,4474106,40.41546754,-3.699540394
Sala El perro de la parte de atri¡s del coche,SALA CONCIERTOS,23,UNIVERSIDAD,15,CENTRO,1,CALLE PUEBLA,15,28004,440288,4474863,40.42225766,-3.703874419
Sala Hangar 48,SALA CONCIERTOS,24,PALACIO,11,CENTRO,1,CALLE BAILEN,24,28005,439414,4473662,40.41137612,-3.714064363
Sala Fulanita de tal,SALA CONCIERTOS,25,JUSTICIA,14,CENTRO,1,CALLE REGUEROS,9,28004,440920,4475127,40.42468328,-3.696460198
Sala Fotomati³n,SALA CONCIERTOS,26,UNIVERSIDAD,15,CENTRO,1,PLAZA CONDE DE TORENO,2,28015,439811,4475125,40.42458981,-3.709521524
Sala Cadavra Club,SALA CONCIERTOS,27,SOL,16,CENTRO,1,CALLE CABALLERO DE GRACIA,10,28013,440547,4474548,40.41944182,-3.700799789
Sala El Si³tano,SALA CONCIERTOS,28,EMBAJADORES,12,CENTRO,1,CALLE MALDONADAS,6,28005,439945,4473612,40.41096326,-3.707804846
Sala Libertad 8,SALA CONCIERTOS,29,JUSTICIA,14,CENTRO,1,CALLE LIBERTAD,8,28004,440842,4474685,40.4206999,-3.697334073
Sala El Sol,SALA CONCIERTOS,30,SOL,16,CENTRO,1,CALLE JARDINES,3,28013,440477,4474497,40.41896394,-3.701635498
Cine Palacio de la Prensa,CINE,31,SOL,16,CENTRO,1,PLAZA CALLAO,4,28013,440148,4474597,40.41984118,-3.705522698
Cine Estudio Ci­rculo de Bellas Artes,CINE,32,CORTES,13,CENTRO,1,CALLE ALCALA,42,28014,440903,4474433,40.41841776,-3.696608455
Filmoteca Espai±ola. Cine Dori©,CINE,33,EMBAJADORES,13,CENTRO,1,CALLE SANTA ISABEL,3,28012,440675,4473701,40.41180732,-3.699227515
Cine Capitol Gran Vi­a,CINE,34,PALACIO,11,CENTRO,1,CALLE GRAN VIA,41,28013,440057,4474664,40.42043827,-3.70658982
Yelmo Cines Ideal,CINE,35,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR CORTEZO,6,28012,440287,4473925,40.41381195,-3.70379996
Cines Callao,CINE,36,SOL,16,CENTRO,1,PLAZA CALLAO,3,28013,440150,4474615,40.42001256,-3.705489126
Sala El Intruso,SALA CONCIERTOS,37,JUSTICIA,14,CENTRO,1,CALLE AUGUSTO FIGUEROA,3,28004,440603,4474946,40.42302865,-3.700179828
Sala El Despertar,SALA CONCIERTOS,38,EMBAJADORES,12,CENTRO,1,CALLE TORRECILLA DEL LEAL,18,28012,440648,4473593,40.4108484,-3.699513775
Cafi© Berli­n,SALA CONCIERTOS,39,SOL,16,CENTRO,1,COSTANILLA ANGELES,20,28013,439941,4474569,40.41958857,-3.707943093
Cafi© Central,SALA CONCIERTOS,40,CORTES,13,CENTRO,1,PLAZA ANGEL,10,28012,440450,4473965,40.4141785,-3.701904024
Cafi© La Palma,SALA CONCIERTOS,41,UNIVERSIDAD,14,CENTRO,1,CALLE PALMA,62,28015,439936,4475369,40.42678043,-3.708094409
Sala Contraclub,SALA CONCIERTOS,42,PALACIO,11,CENTRO,1,CALLE BAILEN,16,28005,439426,4473790,40.4125282,-3.713944177
Independance Club,SALA CONCIERTOS,43,CORTES,13,CENTRO,1,CALLE ATOCHA,127,28012,441210,4473454,40.4096307,-3.692877476
Tablao Flamenco El Lucero,TABLAO,44,CORTES,13,CENTRO,1,CALLE MARQUES DE CUBAS,25,28014,440974,4474192,40.41626691,-3.695734204
Sala Maravillas,SALA CONCIERTOS,45,UNIVERSIDAD,15,CENTRO,1,CALLE SAN VICENTE FERRER,33,28004,440254,4475253,40.42576766,-3.704318891
Tablao flamenco de la Villa,TABLAO,46,PALACIO,11,CENTRO,1,CALLE TORIJA,7,28013,439731,4474700,40.42074804,-3.710435835
Tablao Flamenco La Carmela,TABLAO,47,SOL,16,CENTRO,1,CALLE VICTORIA,4,28012,440464,4474201,40.41630783,-3.70173792
Teatro Nuev9 Norte,TEATRO,48,UNIVERSIDAD,15,CENTRO,1,CALLE NORTE,9,28015,439975,4475283,40.4260176,-3.707614867
Teatro Nuevo Apolo,TEATRO,49,EMBAJADORES,12,CENTRO,1,PLAZA TIRSO DE MOLINA,1,28012,440323,4473762,40.41234076,-3.703369988
Teatro Pavi³n,TEATRO,50,EMBAJADORES,12,CENTRO,1,CALLE EMBAJADORES,9,28012,440080,4473507,40.41002884,-3.706199496
Teatro Pri­ncipe Gran Vi­a,TEATRO,51,SOL,16,CENTRO,1,CALLE TRES CRUCES,8,28013,440491,4474755,40.41941657,-3.702760005
Teatro Reina Victoria,TEATRO,52,CORTES,13,CENTRO,1,CARRERA SAN JERONIMO,24,28014,440629,4474223,40.41651548,-3.699818451
Teatro Rialto,TEATRO,53,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,54,28013,439992,4474769,40.42138841,-3.707377753
Teatro Sala Mirador,TEATRO,54,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR FOURQUET,31,28012,440697,4473173,40.40706814,-3.698898808
Teatro Valle Incli¡n. Centro Dri¡matico Nacional,TEATRO,55,EMBAJADORES,12,CENTRO,1,CALLE VALENCIA,1,28012,440564,4473279,40.4080069,-3.700484579
Teatro Victoria,TEATRO,56,UNIVERSIDAD,15,CENTRO,1,CALLE PEZ,17,28004,440143,4475035,40.4237866,-3.705611072
Teatro. Mi­nima espacio esci©nico,TEATRO,57,EMBAJADORES,12,CENTRO,1,CALLE MALLORCA,4,28012,440773,4473171,40.40704888,-3.698011526
Teatro Lope de Vega,TEATRO,58,PALACIO,11,CENTRO,1,CALLE GRAN VÃA,57,28013,439865,4474827,40.42189273,-3.708880093
Teatro Lara,TEATRO,59,UNIVERSIDAD,15,CENTRO,1,CALLE CORREDERA BAJA DE SAN PABLO,15,28004,440241,4474845,40.42208197,-3.704449835
Teatro la Latina,TEATRO,60,PALACIO,11,CENTRO,1,PLAZA CEBADA,2,28005,439863,4473661,40.4113978,-3.70878174
Teatro de la Zarzuela,TEATRO,61,CORTES,13,CENTRO,1,CALLE JOVELLANOS,4,28014,440879,4474296,40.41719097,-3.696866904
Teatro Calderi³n,TEATRO,62,EMBAJADORES,12,CENTRO,1,CALLE ATOCHA,18,28012,440325,4473942,40.41396243,-3.703363301
Teatro Capitol Gran Vi­a,TEATRO,63,PALACIO,11,CENTRO,1,CALLE GRAN VIA,41,28013,440057,4474664,40.42044663,-3.706582133
Teatro Cofidis Alci¡zar,TEATRO,64,CORTES,13,CENTRO,1,CALLE ALCALA,20,28014,440694,4474365,40.41780143,-3.699048172
Teatro Coliseum,TEATRO,65,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,78,28013,440304,4474849,40.4221316,-3.703695927
Teseo Teatro,TEATRO,66,PALACIO,11,CENTRO,1,RONDA SEGOVIA,61,28005,439256,4473343,40.40848903,-3.715905028
Teatro de la Escuela,TEATRO,67,UNIVERSIDAD,15,CENTRO,1,CALLE PALMA,18,28004,440361,4475309,40.42628173,-3.703059099
Teatro de las Aguas,TEATRO,68,UNIVERSIDAD,15,CENTRO,1,CALLE DE LAS AGUAS,8,28005,440304,4474849,40.4221316,-3.703695927
Teatro La Corseteri­a - NTF,TEATRO,69,EMBAJADORES,12,CENTRO,1,CALLE CABEZA,8,28012,440313,4473696,40.41174548,-3.703481651
Teatro del Barrio,TEATRO,70,EMBAJADORES,12,CENTRO,1,CALLE ZURITA,20,28012,440681,4473464,40.40968182,-3.699123015
Teatro EDP Gran Vi­a,TEATRO,71,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,66,28013,439859,4474883,40.42240577,-3.708956207
Teatro Espai±ol,TEATRO,72,CORTES,13,CENTRO,1,CALLE PRINCIPE,25,28012,440597,4474036,40.41482868,-3.70016636
Teatro Fi­garo - Adolfo Marsillach,TEATRO,73,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR CORTEZO,5,28012,440298,4473886,40.41345602,-3.70367626
Teatro Infanta Isabel,TEATRO,74,JUSTICIA,14,CENTRO,1,CALLE BARQUILLO,24,28004,440993,4474853,40.42221671,-3.695586731
Teatro Karpas,TEATRO,75,EMBAJADORES,12,CENTRO,1,CALLE SANTA ISABEL,19,28012,440803,4473550,40.41045615,-3.697704939
Teatro Monumental,TEATRO,76,CORTES,13,CENTRO,1,CALLE ATOCHA,65,28012,440680,4473775,40.41248874,-3.699161734
Teatro Mari­a Guerrero.,TEATRO,77,JUSTICIA,14,CENTRO,1,CALLE TAMAYO Y BAUS,4,28004,441207,4474927,40.42288948,-3.693071022
Teatro Mui±oz Seca,TEATRO,78,SOL,16,CENTRO,1,PLAZA CARMEN,1,28013,440336,4474436,40.41840439,-3.703279899
Teatro Maravillas,TEATRO,79,UNIVERSIDAD,15,CENTRO,1,CALLE MANUELA MALASAÃA,6,28004,440360,4475576,40.42867576,-3.703103947
Theatre for the people,TEATRO,80,UNIVERSIDAD,15,CENTRO,1,PLAZA CARLOS CAMBRONERO,5,28004,440289,4474961,40.42313947,-3.703883251
Teatro Arlequi­n Gran Vi­a,TEATRO,81,PALACIO,11,CENTRO,1,CALLE SAN BERNARDO,5,28013,439913,4474730,40.42102237,-3.708305148
Soho Club Teatro,TEATRO,82,PALACIO,11,CENTRO,1,PLAZA ESPAÃA,6,28008,439605,4474904,40.42257848,-3.711936021
Sala Teatro Azarte,TEATRO,83,JUSTICIA,14,CENTRO,1,CALLE SAN MARCOS,19,28004,440756,4474766,40.4214072,-3.698360307
Sala de Teatro La Escalera de Jacob,TEATRO,84,EMBAJADORES,12,CENTRO,1,CALLE LAVAPIES,9,28012,440367,4473650,40.41133762,-3.702837782
Tablao Flamenco 1911,TABLAO,85,CORTES,13,CENTRO,1,PLAZA SANTA ANA,15,28012,440490,4474047,40.41492297,-3.70142427
Tablao Flamenco Cardamomo,TABLAO,86,CORTES,13,CENTRO,1,CALLE ECHEGARAY,15,28014,440650,4474106,40.41546306,-3.699548239
Tablao Flamenco Corral de la Moreri­a,TABLAO,87,PALACIO,11,CENTRO,1,CALLE MORERIA,17,28005,439399,4473810,40.4127064,-3.714264289
Teatro Bellas Artes,TEATRO,88,CORTES,13,CENTRO,1,CALLE MARQUES DE CASA RIERA,2,28014,440918,4474423,40.41833782,-3.696419035
Tablao Cafeti­n La Quimera,TABLAO,89,SOL,16,CENTRO,1,CALLE CUCHILLEROS,7,28005,439935,4474010,40.4145514,-3.707963963
Teatro Marquina,TEATRO,90,JUSTICIA,14,CENTRO,1,CALLE PRIM,11,28004,441148,4474824,40.42195751,-3.693745153
Cines Embajadores,CINE,91,DELICIAS,25,ARGANZUELA,2,GLORIETA SANTA MARIA DE LA CABEZA,5,28045,440722,4472467,40.40070476,-3.698541455
Cine Cinesa Mendez Alvaro,CINE,92,ATOCHA,27,ARGANZUELA,2,CALLE ACANTO,2,28045,442670,4471989,40.39652457,-3.675549653
Cineteca Madrid,CINE,93,CHOPERA,23,ARGANZUELA,2,PLAZA LEGAZPI,8,28045,440946,4471394,40.39105304,-3.695807972
Cine Artistic Metropol,CINE,94,ACACIAS,22,ARGANZUELA,2,CALLE CIGARRERAS,6,28005,439972,4472935,40.4048565,-3.707428568
Teatro Lagrada,TEATRO,95,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,20,28005,440356,4472691,40.40268595,-3.70289238
Naves Espanol en Matadero,TEATRO,96,CHOPERA,23,ARGANZUELA,2,PASEO CHOPERA,14,28045,440825,4471546,40.39241375,-3.697247686
Sala Nave 73,TEATRO,97,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,5,28012,440712,4472741,40.4031618,-3.698702017
Teatro La Sala,TEATRO,98,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,3,28012,440686,4472732,40.40309417,-3.698984271
Tablao Flamenco Cafe Ziryab,SALA CONCIERTOS,99,ACACIAS,22,ARGANZUELA,2,PASEO ESPERANZA,17,28005,440164,4472643,40.40224885,-3.705138659
Sala Rock Palace,SALA CONCIERTOS,100,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE VARA DE REY,6,28045,441492,4472615,40.40209673,-3.689478906
Auditorio al aire libre. Parque Enrique Tierno Galvi¡n,AUDITORIO,101,LEGAZPI,24,ARGANZUELA,2,AVENIDA PLANETARIO,18,28045,441830,4471375,40.39094408,-3.685391155
Sala Big Mama Ballroom,SALA CONCIERTOS,102,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE BERNARDINO OBREGON,3,28012,440603,4472862,40.40425285,-3.6999784
Teatro Corral de Cervantes,TEATRO,103,CHOPERA,23,ARGANZUELA,2,PASEO CHOPERA,10,28045,440676,4471620,40.39307289,-3.699005654
Sala de teatro. La Usina,TEATRO,104,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,4,28012,440590,4472681,40.40262168,-3.700122356
Teatro. Artespacio Plot Point,TEATRO,105,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,29,28005,440426,4472606,40.40192531,-3.702047778
Teatro Circo Price,TEATRO,106,PALOS DE MOGUER,26,ARGANZUELA,2,RONDA ATOCHA,35,28012,440723,4473051,40.40596423,-3.69860136
Tablao Flamenco Cafi© Ziryab,TABLAO,107,ACACIAS,22,ARGANZUELA,2,PASEO ESPERANZA,17,28005,440164,4472643,40.40224885,-3.705138659
Teatro Estudio 2 Manuel Galiana,TEATRO,108,ACACIAS,22,ARGANZUELA,2,CALLE MORATINES,11,28005,440374,4472749,40.40321882,-3.702674016
Sojo Laboratorio Teatral.,TEATRO,109,ACACIAS,22,ARGANZUELA,2,CALLE SAN ISIDORO DE SEVILLA,2,28005,439569,4472902,40.4045433,-3.712165151
Teatro Sala Cuarta Pared,TEATRO,110,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,17,28005,440371,4472701,40.40277711,-3.702716561
Teatro La Encina,TEATRO,111,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,15,28005,440362,4472716,40.40292068,-3.70281233
Teatro. Bululiº 2120,TEATRO,112,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE CANARIAS,16,28045,440896,4472605,40.40195874,-3.696521253
