PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
12328;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Ciudad Lineal)";"";"Comisaría: ininterrumpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30 y de 16 a 20, sábados de 9 a 14 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Metro: El Carmen (línea 5).  Bus: 21, 48.";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policía  y en comisaría.";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=99e766051361c010VgnVCM1000000b205a0aRCRD";"VIRGEN DE LA ROCA";"TRAVESIA";"V";"25";"";"";"";"";"MADRID";"MADRID";"28027";"4";"CONCEPCION";"15";"CIUDAD LINEAL";"444326";"4476269";"40.4352025709564";"-3.6564120450275017";"060 (Cita previa DNI y pasaporte e Información general)  / 902 102 112 (Denuncias turistas extranjeros) / 913 269 452 (Comisaría)";"913 269 459 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12334;"Comisaría de Policía Madrid (Arganzuela)";"";"Ininterrumpido.";"";"Metro: Embajadores (línea 3), Acacias (línea 5).  Bus: 148, 41, 60, C03, C1, C2, 119, 34, 36, 116, 118, 62.  Cercanías Renfe: Embajadores (línea C5).  Bicimad: Estación 46 (calle Ribera de Curtidores, 28).  Aparcamiento: Casino de la Reina (19) calle del Casino.";"Denuncias: pueden presentarse por internet y en comisaría.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e08766051361c010VgnVCM1000000b205a0aRCRD";"TOLEDO";"RONDA";"V";"26";"";"";"";"";"MADRID";"MADRID";"28005";"2";"ACACIAS";"2";"ARGANZUELA";"440082";"4473001";"40.40546799192066";"-3.7061386215330936";"902 102 112 (Denuncias turistas extranjeros) / 913 221 221 (Comisaría)";"913 221 234";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
12329;"Comisaría de Policía Madrid (Centro)";"";"Servicio ininterrumpido.";"";"Metro: Santo Domingo (línea 2), Plaza de España (líneas 2, 3 y 10).  Bus: 133, 148, 44, 75, 3, 46, 74, 001, 1, 2, 25, 39.  Bicimad: Estación 23 (plaza de Santo Domingo, 1).  Aparcamiento: Isabel la Católica (98).";"Denuncias: pueden presentarse por internet y en comisaría.";"3,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=caa766051361c010VgnVCM1000000b205a0aRCRD";"LEGANITOS";"CALLE";"V";"19";"";"";"";"";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"439756";"4474787";"40.42154122155197";"-3.7101413569005515";"060 (Información) / 902 102 112 (Denuncias para turistas extranjeros) / 915 487 985 (Comisaría)";"915 410 535";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
12337;"Comisaría de Policía Madrid (Chamberí)";"";"Comisaría: ininterrumpido.";"";"Metro: Rubén Darío (línea 5), Iglesia (línea 1), Gregorio Marañón (líneas 7 y 10).  Bus: 147, 40, 16, 5, 61, 7.  Bicimad: Estación 198 (glorieta Rubén Dario, 2).";"Denuncias: pueden presentarse por internet y en comisaría.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4d766051361c010VgnVCM1000000b205a0aRCRD";"RAFAEL CALVO";"CALLE";"V";"33";"";"";"";"";"MADRID";"MADRID";"28010";"4";"ALMAGRO";"7";"CHAMBERI";"441322";"4476170";"40.43410421469796";"-3.6918185186141024";"060 (Información) / 902 102 112 (Denuncias turistas extranjeros) / 913 223 268 (Comisaría)";"913 229 990";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
12325;"Comisaría de Policía Madrid (Moncloa - Aravaca)";"";"Comisaría: ininterrumpido.";"";"Metro: Ventura Rodríguez (línea 3).  Bus: 74, 62, 001, 1, 133, 138, 2, 44, C2.  Bicimad: Estación 114 (calle Quintana, 11).";"Denuncias: pueden presentarse por internet y en comisaría.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7828efeac361c010VgnVCM1000000b205a0aRCRD";"REY FRANCISCO";"CALLE";"V";"15";"";"";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439223";"4475404";"40.42705302635917";"-3.716490859340778";"060 (Información) / 902 102 112 (Denuncias turistas extranjeros) / 915 488 130 (Comisaría)";"915 591 707";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
12342;"Comisaría de Policía Madrid (Moratalaz)";"";"Comisaría: ininterrumpido.";"";"Metro: Pavones (línea 9).  Bus: 20, 63, 145, E, 142, 144.";"Denuncias: pueden presentarse por internet y en comisaría.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d38efeac361c010VgnVCM1000000b205a0aRCRD";"TACONA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28030";"5";"FONTARRON";"14";"MORATALAZ";"445569";"4471963";"40.396493872535565";"-3.641389151947866";"060 (Información) / 902 102 112 (Denuncias turistas extranjeros) / 913 221 373 / 913 221 381 (Comisaría)";"913 221 375";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
12339;"Comisaría de Policía Madrid (Puente de Vallecas)";"";"Comisaría: ininterrumpido.";"";"Metro: Portazgo (línea 1).  Bus: 10, 103, 57, 136, 54, 58.";"Denuncias: pueden presentarse por internet y en comisaría.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ffc8efeac361c010VgnVCM1000000b205a0aRCRD";"PE&amp;Ntilde;A TREVINCA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28018";"3";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"443937";"4471499";"40.39220562394054";"-3.660577823588684";"060 (Información) / 902 102 112 (Denuncias turistas extranjeros) / 917 570 081 (Comisaría)";"917 570 123";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
12330;"Comisaría de Policía Madrid (Retiro)";"";"Comisaría: ininterrumpido.";"";"Metro: Antón Martín (línea 1).  Bus: 001, 10, 14, 27, 34, 37, 45, C03.  Bicimad: Estación 27 (calle Jesús, 1).";"Denuncias: pueden presentarse por internet y en comisaría.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4768efeac361c010VgnVCM1000000b205a0aRCRD";"HUERTAS";"CALLE";"V";"76";"";"";"";"y 78";"MADRID";"MADRID";"28014";"3";"CORTES";"1";"CENTRO";"441156";"4474018";"40.412851006436505";"-3.6949716848232157";"060 (Información) / 902 102 112 (Denuncias turistas extranjeros)";"";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
12335;"Comisaría de Policía Madrid (Salamanca)";"";"Comisaría: Ininterrumpido.";"";"Metro: Manuel Becerra (líneas 2 y 6), Lista (línea 4).  Bus: 146, 21, 43, 53, 12, 210, 56, C1.  Bicimad: Estación 108 (calle Mártires Concepcionistas, 2).";"Denuncias: pueden presentarse por internet y en comisaría.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c78efeac361c010VgnVCM1000000b205a0aRCRD";"PRINCIPE DE ASTURIAS";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28006";"2";"GOYA";"4";"SALAMANCA";"443027";"4475466";"40.427880697814125";"-3.671666443438239";"060 (Información) / 902 102 112 (Denuncias turistas extranjeros) / 914 448 120 (Comisaría)";"914 448 138";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
12323;"Comisaría de Policía Madrid (Tetuán)";"";"Comisaría: Ininterrumpido.";"";"Metro: Valdeacederas (línea 1).  Bus: 49, 124, 66.  Bicimad: Estación 207 (calle Azucenas, 1).";"Denuncias: pueden presentarse por internet y en comisaría.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=16a8efeac361c010VgnVCM1000000b205a0aRCRD";"MAESTROS LADRILLEROS";"PASAJE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28039";"5";"VALDEACEDERAS";"6";"TETUAN";"440783";"4479542";"40.46444244225699";"-3.6984873586792526";"060 (Información) / 902 102 112 (Denuncias turistas extranjeros) / 913 221 112 (Comisaría)";"913 221 111";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
5900261;"Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2)";"";"Comisaría:  Ininterrunpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Bus: 6, 60, 81.";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policía  y en comisaría.";"1,4,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=acd07b86c030d210VgnVCM2000000c205a0aRCRD";"PRIMITIVA GA&amp;Ntilde;AN";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28026";"7";"PRADOLONGO";"12";"USERA";"439794";"4470255";"40.38070988121351";"-3.7092728771934276";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 913 921 600 (Comisaría)";"915 004 172 (comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12336;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Carabanchel)";"";"Comisaría: ininterrumpido.  DNI electrónico y pasaporte: Lunes a viernes, de 9 a 14:30 y de 16 a 20 horas. Con Cita Previa.  Los horarios puede sufrir modificaciones puntuales, confirmar en este  enlace .";"";"Bus: 108.";"Denuncias: pueden presentarse en la página web de la Dirección General de Policía y en comisaría.";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d59766051361c010VgnVCM1000000b205a0aRCRD";"PADRE AMIGO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28025";"5";"PUERTA BONITA";"11";"CARABANCHEL";"437185";"4470171";"40.37976058045636";"-3.739998239377629";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros)  / 913 227 512 (Comisaría)";"914 624 622 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12331;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín)";"";"Comisaría: ininterrumpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Metro: Duque de Pastrana (línea 9).  Bus: 150, 16.";"Denuncias:  pueden presentarse en la  página web de la Dirección General de Policia  y en comisaría.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bfb766051361c010VgnVCM1000000b205a0aRCRD";"PIO XII";"AVENIDA";"V";"48";"";"";"";"";"MADRID";"MADRID";"28016";"6";"CASTILLA";"5";"CHAMARTIN";"442950";"4480048";"40.469152346150686";"-3.672973959296602";"060 (Cita previa DNI y pasaporte e Información general)   / 902 102 112 (Denuncias turistas extranjeros) / 913 227 910 (Comisaría)";"913 227 911 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
7935374;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo)";"";"Comisaría: ininterrumpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Metro: Lacoma (línea 7).  Bus: 49.";"Denuncias: pueden presentarse por internet y en comisaría.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7815e686d680c410VgnVCM2000000c205a0aRCRD";"MIRADOR DE LA REINA";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28035";"7";"MIRASIERRA";"8";"FUENCARRAL-EL PARDO";"438455";"4482188";"40.48810930619037";"-3.726201743268821";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 917 319 787 (Comisaría)";"917 309 489 (Comisaría)";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
43979;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza)";"";"Comisaría: Ininterrumpido.   DNI: Lunes a viernes, 9 a 14:30 y de 16 a 20 horas. Con Cita Previa.  Pasaporte: Lunes a viernes, 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones, ver en enlace.";"";"Metro: Mar de Cristal (líneas 4 y 8).  Bus: 87, 120, 125, 172.";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policía  y en comisaría.    DNI y Pasaporte: Enlace Cita Previa.";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e3887589f451c010VgnVCM1000000b205a0aRCRD";"JAVIER DEL QUINTO";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28043";"3";"CANILLAS";"16";"HORTALEZA";"445546";"4479957";"40.46850680550201";"-3.642345049181705";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 913 221 188 (Comisaría)";"913 229 994 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12343;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina)";"";"Comisaría: ininterrumpido.   DNI y pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa.  Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente  enlace .";"";"Metro: Aluche (línea 5).  Bus: 121, 131, 139.  Cercanías Renfe: Aluche (línea C5).";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policía  y en comisaría.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8318efeac361c010VgnVCM1000000b205a0aRCRD";"POBLADOS";"AVENIDA";"V";"51";"";"";"";"";"MADRID";"MADRID";"28047";"4";"VISTA ALEGRE";"11";"CARABANCHEL";"435693";"4470454";"40.3821961594519";"-3.757602010619672";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 913 228 682 (Comisaría)";"915 120 512 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12327;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (San Blas - Canillejas)";"";"Comisaría: ininterrumpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Metro: San Blas (línea 7).  Bus: 153, 38, 165, 48.";"Denuncias:  pueden presentarse  en la página de la Dirección General de Policía  y en comisaría.     DNI y Pasaporte: Enlace Cita Previa.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2198efeac361c010VgnVCM1000000b205a0aRCRD";"ALBERIQUE";"CALLE";"V";"20";"";"";"";"esquina Avenida Hellín";"MADRID";"MADRID";"28037";"3";"AMPOSTA";"20";"SAN BLAS-CANILLEJAS";"447756";"4475582";"40.429236197826675";"-3.615917204538452";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 913 225 648 (Comisaría)";"913 065 187";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
4648324;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Villa de Vallecas)";"";"Comisaría: Ininterrumpido.  DNI: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa.  Pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Bus: 103, 111, 24, 144, 102  Cercanías Renfe: Asamblea de Madrid - Entrevías (línea C2).";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policia  y en comisaría.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e12ab40380725110VgnVCM1000000b205a0aRCRD";"REGIONES";"PLAZA";"V";"";"";"";"";"sin número";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"443076";"4470117";"40.37969736641701";"-3.6705986546441793";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 Denuncias turistas extranjeros / 915 079 410 (Comisaría)";"913 229 964 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
36083;"Oficina de Tramitación de DNI y Pasaporte (Usera-Villaverde 1)";"";"DNI y pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa.  Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente  enlace .";"";"Metro: Ciudad de los Ángeles (línea 3).  Bus: 22, 59, 79, 85, 18, 86.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5958444a2951c010VgnVCM2000000c205a0aRCRD";"GIGANTES Y CABEZUDOS";"PASEO";"V";"30";"";"";"";"";"MADRID";"MADRID";"28041";"5";"LOS ANGELES";"17";"VILLAVERDE";"441082";"4467676";"40.35756885956982";"-3.6938620027962017";"060 (Cita previa e Información general)";"";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 

