Nº Distrito;DISTRITO;BARRIO;PARQUES Y ZONAS VERDES DE DISTRITO CON MAYOR SUPERFICIE;Superficie (m2);Superficie (ha)
01;CENTRO;PALACIO;PARQUE DE ATENAS;46.569,03;4,66
01;CENTRO;CORTES;Pº PRADO I;35.327,59;3,53
01;CENTRO;PALACIO;PARQUE DE LA CORNISA;22.633,04;2,26
01;CENTRO;EMBAJADORES;PARQUE CASINO DE LA REINA;19.858,92;1,99
01;CENTRO;JUSTICIA;Pº DE RECOLETOS I;19.440,71;1,94
01;CENTRO;PALACIO;JARDINES DE LAS VISTILLAS;12.108,31;1,21
01;CENTRO;PALACIO;CUESTA DE LOS CIEGOS;11.879,10;1,19
01;CENTRO;JUSTICIA;JARDINES DE LA PZA. DE LA VILLA DE PARIS;10.718,25;1,07
01;CENTRO;PALACIO;TALUD C/ SEGOVIA;9.985,49;1,00
01;CENTRO;EMBAJADORES;MERCADO PTA. DE TOLEDO;5.751,54;0,58
01;CENTRO;PALACIO;JARDIN DE LARRA;5.599,29;0,56
01;CENTRO;PALACIO;JARDINES DE LA PZA. DE GABRIEL MIRÓ;5.462,68;0,55
01;CENTRO;JUSTICIA;JARDINES ARQUITECTO RIBERA;4.778,92;0,48
02;ARGANZUELA;LEGAZPI;PARQUE ENRIQUE TIERNO GALVAN;401.396,67;40,14
02;ARGANZUELA;LEGAZPI;PARQUE DEL BRONCE PVF;28.817,89;2,88
02;ARGANZUELA;ACACIAS;PARQUE PEÑUELAS;27.401,64;2,74
02;ARGANZUELA;DELICIAS;PARQUE DE DELICIAS;26.882,72;2,69
02;ARGANZUELA;DELICIAS;PARQUE MIRADOR TIERNO GALVAN PVF;22.202,13;2,22
02;ARGANZUELA;DELICIAS;PARQUE RAMIREZ DE PRADO;20.878,86;2,09
02;ARGANZUELA;ATOCHA;A.P.R.02.06 'MENDEZ-ALVARO NORTE 1';13.312,62;1,33
02;ARGANZUELA;ATOCHA;ZV TEJO;12.599,98;1,26
02;ARGANZUELA;ATOCHA;ESTACION SUR - PERI 3/5;12.508,53;1,25
02;ARGANZUELA;ACACIAS;PARQUE PAPELERA PENINSULAR;11.800,32;1,18
02;ARGANZUELA;LEGAZPI;Z.V. PUERTO DE  BEJAR;11.565,81;1,16
02;ARGANZUELA;ACACIAS;URB. PAPELERA PENINSULAR - JARDINES;10.660,30;1,07
02;ARGANZUELA;ACACIAS;POL. DE YESERIAS FASES II Y III;10.365,81;1,04
02;ARGANZUELA;ACACIAS;JARDIN DEL RASTRO;8.998,75;0,90
02;ARGANZUELA;LEGAZPI;JARDINES DE RODIO-ONICE;8.976,19;0,90
02;ARGANZUELA;IMPERIAL;PARQUE IMPERIAL PVF;8.888,31;0,89
03;RETIRO;ESTRELLA;PARQUE DE ROMA;112.100,66;11,21
03;RETIRO;ADELFAS;PARQUE MARTIN LUTHER KING;33.719,57;3,37
03;RETIRO;ESTRELLA;M30 - C/ SIRIO;21.589,56;2,16
03;RETIRO;ESTRELLA;M30 - NUDO  O´DONNELL;17.435,24;1,74
03;RETIRO;ESTRELLA;JARDINES Pº JOHN LENNON;13.623,24;1,36
03;RETIRO;LOS JERONIMOS;JARDINES DEL MUSEO DEL PRADO;12.904,13;1,29
03;RETIRO;PACIFICO;PARQUE DE COCHERAS;9.573,37;0,96
03;RETIRO;LOS JERONIMOS;JARDINES PZA. DE LA LEALTAD;8.568,17;0,86
03;RETIRO;LOS JERONIMOS;PAR POETA ESTEBAN VILLEGAS;6.805,34;0,68
03;RETIRO;LOS JERONIMOS;PZA. DE MURILLO;5.526,19;0,55
03;RETIRO;ADELFAS;JARDINES FEDERICO MORENO TORROBA;5.268,85;0,53
04;SALAMANCA;GUINDALERA;PARQUE DE LAS AVENIDAS;47.029,32;4,70
04;SALAMANCA;FUENTE DEL BERRO;PARQUE SANCHO DAVILA;43.029,27;4,30
04;SALAMANCA;GUINDALERA;AMPLIACION PARQUE DE LAS AVENIDAS;32.979,18;3,30
04;SALAMANCA;GUINDALERA;PARQUE DE MARIA EVA DUARTE DE PERON;29.746,40;2,97
04;SALAMANCA;GUINDALERA;PARQUE BREOGAN;22.272,62;2,23
04;SALAMANCA;CASTELLANA;Pº DE LA CASTELLANA I;21.628,85;2,16
04;SALAMANCA;RECOLETOS;JARDINES DEL DESCUBRIMIENTO;20.201,31;2,02
04;SALAMANCA;GUINDALERA;M30 - NUDO AVDA. DE AMERICA;10.851,77;1,09
04;SALAMANCA;FUENTE DEL BERRO;M30 - NUDO O DONNELL;10.374,69;1,04
04;SALAMANCA;GUINDALERA;M30 - PTE. DE VENTAS;9.527,12;0,95
04;SALAMANCA;GUINDALERA;JARDINES PZA. TOROS DE LAS VENTAS;8.747,12;0,87
04;SALAMANCA;RECOLETOS;Pº DE RECOLETOS II;5.089,23;0,51
05;CHAMARTIN;EL VISO;Pº DE LA CASTELLANA II;50.219,17;5,02
05;CHAMARTIN;CIUDAD JARDIN;PARQUE DE BERLIN;49.116,00;4,91
05;CHAMARTIN;CASTILLA;M30 - AVDA. BURGOS;24.989,95;2,50
05;CHAMARTIN;CASTILLA;M30 - NUDO DE LA PALOMA;17.206,08;1,72
05;CHAMARTIN;PROSPERIDAD;M30 - LA CHOPERA;15.333,09;1,53
05;CHAMARTIN;PROSPERIDAD;PARQUE FELIX RGUEZ. DE LA FUENTE;14.752,94;1,48
05;CHAMARTIN;NUEVA ESPAÑA;M30 - NUDO COSTA RICA;14.337,81;1,43
05;CHAMARTIN;HISPANOAMERICA;PARQUE ORLANDO TAMAYO ZAPATA;12.859,87;1,29
05;CHAMARTIN;CASTILLA;COL. SAN CRISTOBAL;12.379,09;1,24
05;CHAMARTIN;NUEVA ESPAÑA;JARDINES DE SAN FERNANDO;11.970,64;1,20
05;CHAMARTIN;PROSPERIDAD;JARDIN DE LUIS DE TRELLES;11.379,85;1,14
05;CHAMARTIN;HISPANOAMERICA;Pº CEREZOS;10.964,52;1,10
05;CHAMARTIN;HISPANOAMERICA;JARDINES INSTITUTO STA. MARCA;10.813,50;1,08
05;CHAMARTIN;NUEVA ESPAÑA;ALFONSO XIII - STA. Mª MAGDALENA;10.423,07;1,04
05;CHAMARTIN;EL VISO;JARDIN DE LAS BELLAS ARTES;10.340,15;1,03
05;CHAMARTIN;NUEVA ESPAÑA;Jardines de Berta Cáceres;10.503,41;1,05
06;TETUAN;VALDEACEDERAS;PARQUE AGUSTIN RGUEZ. SAHAGUN;177.896,59;17,79
06;TETUAN;VALDEACEDERAS;PARQUE HUERTA DEL OBISPO;131.589,23;13,16
06;TETUAN;ALMENARA;PARQUE DE LA VENTILLA;102.706,56;10,27
06;TETUAN;CUATRO CAMINOS;Pº DE LA CASTELLANA III;20.144,83;2,01
06;TETUAN;CUATRO CAMINOS;JARDINES DE PERON;18.833,50;1,88
06;TETUAN;VALDEACEDERAS;PARQUE VILLAMIL;17.452,70;1,75
06;TETUAN;CASTILLEJOS;JARDINES DE LA ORGANIZACION MUNDIAL DE TURISMO;17.068,26;1,71
06;TETUAN;ALMENARA;BULEVAR AVDA. ASTURIAS;10.915,90;1,09
06;TETUAN;CUATRO CAMINOS;COMPLEJO AZCA NIVEL 686;10.224,72;1,02
06;TETUAN;ALMENARA;TALUD VIA LIMITE - EMILIA;8.945,82;0,89
06;TETUAN;ALMENARA;C.P. FELIPE II;5.755,09;0,58
06;TETUAN;ALMENARA;AVDA. ASTURIAS - PERGOLAS;5.548,08;0,55
06;TETUAN;CUATRO CAMINOS;PARQUE AVDA. DE BRASIL;5.400,50;0,54
06;TETUAN;CUATRO CAMINOS;Z.V AVDA. BRASIL (PEDRO TEXEIRA - GRAL. PERON);4.686,39;0,47
07;CHAMBERI;ALMAGRO;Pº CASTELLANA IV;25.310,51;2,53
07;CHAMBERI;RIOS ROSAS;LTRL. NUEVOS MINISTERIOS;7.138,97;0,71
07;CHAMBERI;VALLEHERMOSO;JARDINES ENRIQUE HERREROS;6.665,80;0,67
07;CHAMBERI;TRAFALGAR;PZA. DE OLAVIDE;5.731,60;0,57
07;CHAMBERI;RIOS ROSAS;JARDINES DE  ANDRÉS SABORIT;5.606,24;0,56
07;CHAMBERI;ARAPILES;PZA DEL CONDE DEL VALLE DE SUCHIL;5.310,85;0,53
07;CHAMBERI;ARAPILES;Jose Luis Sampedro;3.770,05;0,38
07;CHAMBERI;VALLEHERMOSO;JARDINES DEL TTE. ALCALDE PEREZ PILLADO;3.775,21;0,38
07;CHAMBERI;VALLEHERMOSO;PZA. DE DOMENICO SCARLATTI;3.133,86;0,31
07;CHAMBERI;ALMAGRO;PZA. DE CHAMBERI;2.771,55;0,28
07;CHAMBERI;GAZTAMBIDE;JARDINES DE REVENGA;2.719,55;0,27
08;FUENCARRAL-EL PARDO;EL GOLOSO;MONTECARMELO - Z.F.;468.340,81;46,83
08;FUENCARRAL-EL PARDO;LA PAZ;PARQUE NORTE Carmen Tagle;195.266,69;19,53
08;FUENCARRAL-EL PARDO;VALVERDE;LOS TRES OLIVOS;118.947,75;11,89
08;FUENCARRAL-EL PARDO;EL PILAR;PARQUE DE LA ALCAZABA;119.657,70;11,97
08;FUENCARRAL-EL PARDO;VALVERDE;Z.F. LAS TABLAS V-11;110.764,13;11,08
08;FUENCARRAL-EL PARDO;MIRASIERRA;Parque de Arroyo del Fresno Tomás;107.567,13;10,76
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;PARQUE GABRIELA MISTRAL;103.747,66;10,37
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;AVDA. DE LA ILUSTRACIÓN;101.863,35;10,19
08;FUENCARRAL-EL PARDO;MIRASIERRA;A.P.E. 08 16 ARROYO DEL FRESNO;87.099,15;8,71
08;FUENCARRAL-EL PARDO;VALVERDE;PARQUE LAS TABLAS V-6;62.190,70;6,22
08;FUENCARRAL-EL PARDO;EL GOLOSO;PAU MONTECARMELO (Z.F.);61.754,86;6,18
08;FUENCARRAL-EL PARDO;MIRASIERRA;PARQUE VALLE DE ENMEDIO Y ALREDEDORES;61.722,50;6,17
08;FUENCARRAL-EL PARDO;EL GOLOSO;A.V.C. MONTECARMELO;61.059,11;6,11
08;FUENCARRAL-EL PARDO;VALVERDE;PARQUE LAS TABLAS V-7;55.934,94;5,59
08;FUENCARRAL-EL PARDO;EL PILAR;PARQUE DE LA VAGUADA;50.462,87;5,05
08;FUENCARRAL-EL PARDO;VALVERDE;TALUD C/ CASTILLO DE CANDANCHU;49.243,30;4,92
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;PARQUE FUENTELARREINA;43.963,89;4,40
08;FUENCARRAL-EL PARDO;VALVERDE;PARQUE SANTA ANA (ZONA FORESTAL);42.226,44;4,22
08;FUENCARRAL-EL PARDO;VALVERDE;A.V.C. LAS TABLAS;37.929,75;3,79
08;FUENCARRAL-EL PARDO;VALVERDE;Z.A. ENTORNO ESTS. METRO LIGERO (PAU LAS TABLAS);35.065,91;3,51
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;PARQUE ANA TUTOR;33.412,43;3,34
08;FUENCARRAL-EL PARDO;EL PARDO;PARQUE DEL PUEBLO DEL PARDO;33.315,74;3,33
08;FUENCARRAL-EL PARDO;VALVERDE;LAS TABLAS - MED.;33.352,78;3,34
08;FUENCARRAL-EL PARDO;EL PILAR;PZAS. INTERIORES Bº EL PILAR A;32.670,44;3,27
08;FUENCARRAL-EL PARDO;LA PAZ;POL. 26 (C/ CARDENAL HERRERA ORIA);31.687,17;3,17
08;FUENCARRAL-EL PARDO;EL GOLOSO;MONTECARMELO INTBL. ESTE;30.925,53;3,09
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;PARQUE PEÑAGRANDE;30.687,08;3,07
08;FUENCARRAL-EL PARDO;VALVERDE;Z.A. C/ SAN MILLAN DE LA COGOLLA;30.217,40;3,02
08;FUENCARRAL-EL PARDO;VALVERDE;POBLADO DIRIGIDO DE FUENCARRAL;29.054,24;2,91
08;FUENCARRAL-EL PARDO;EL GOLOSO;Z.A. SANTUARIO DE VALVERDE, 91-99 POST. Y GTA.;27.279,71;2,73
08;FUENCARRAL-EL PARDO;EL GOLOSO;MONTECARMELO INTBL. OESTE;26.559,78;2,66
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;PARQUE ARROYO DE LOS PINOS;25.695,55;2,57
08;FUENCARRAL-EL PARDO;VALVERDE;Z.A. Pº TIERRA DE MELIDE;25.603,26;2,56
08;FUENCARRAL-EL PARDO;VALVERDE;LAS TABLAS - GTAS.;24.918,95;2,49
08;FUENCARRAL-EL PARDO;MIRASIERRA;COMPENSATORIA-ARROYO FRESNO;24.585,42;2,46
08;FUENCARRAL-EL PARDO;MIRASIERRA;Z.F. PARC. 38 Y 39 DE MIRASIERRA;24.448,99;2,44
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;PARQUE CERRO PEÑABEL;24.366,21;2,44
08;FUENCARRAL-EL PARDO;LA PAZ;PARQUE DE LA SUPERMANZANA 7;23.747,34;2,37
08;FUENCARRAL-EL PARDO;VALVERDE;AVDA. VEREDA DE GANAPANES;15.978,02;1,60
08;FUENCARRAL-EL PARDO;VALVERDE;POL. STA. ANA;23.173,71;2,32
08;FUENCARRAL-EL PARDO;VALVERDE;PARQUE DE FUENCARRAL;21.676,81;2,17
08;FUENCARRAL-EL PARDO;VALVERDE;PARQUE BEGOÑA;21.071,89;2,11
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;PARC. NOROESTE;20.525,49;2,05
08;FUENCARRAL-EL PARDO;VALVERDE;PARQUE SANTA ANA 2ª FASE;19.913,87;1,99
08;FUENCARRAL-EL PARDO;VALVERDE;Z.F. LAS TABLAS V-10;17.996,38;1,80
08;FUENCARRAL-EL PARDO;VALVERDE;PARQUE FUENTECHICA;17.853,14;1,79
08;FUENCARRAL-EL PARDO;VALVERDE;Z.A. LAS TABLAS V-32 Y V-34;17.703,44;1,77
08;FUENCARRAL-EL PARDO;PEÑA GRANDE;Z.V. LA COMA;17.564,08;1,76
08;FUENCARRAL-EL PARDO;LA PAZ;POL. 10 V.V. VERTEDERO;17.180,13;1,72
08;FUENCARRAL-EL PARDO;EL GOLOSO;JARDINES CEMENTERIO MONTECARMELO;16.808,41;1,68
09;MONCLOA-ARAVACA;ARAVACA;PINAR Cº CERRO AGUILA;212.362,56;21,24
09;MONCLOA-ARAVACA;CASA DE CAMPO;PARQUE DE LA BOMBILLA;110.235,98;11,02
09;MONCLOA-ARAVACA;ARAVACA;AMPLIACION PARQUE ARROYO  POZUELO;104.914,09;10,49
09;MONCLOA-ARAVACA;ARAVACA;PARQUE ARROYO POZUELO;91.840,31;9,18
09;MONCLOA-ARAVACA;CASA DE CAMPO;COL. DEL MANZANARES;79.614,72;7,96
09;MONCLOA-ARAVACA;ARAVACA;PAR. ARROYO POZUELO (AMPLIACION)_2;78.802,58;7,88
09;MONCLOA-ARAVACA;ARAVACA;CUESTA DEL GALVAN - RONDA DE LAS FLORES - TAPIA DEL HIPODROMO;70.882,07;7,09
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;COMPENSACION DEL PLAN PARCIALLA HORCA.SECTOR I_18;69.674,68;6,97
09;MONCLOA-ARAVACA;CASA DE CAMPO;RECINTOS FERIALES;67.252,82;6,73
09;MONCLOA-ARAVACA;ARAVACA;Pº ERMITA - VILLA ADRIANA;44.547,47;4,45
09;MONCLOA-ARAVACA;ARAVACA;PARQUE LA RINCONERA;43.865,33;4,39
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;MARGEN DERECHO DEL RIO MANZANARES;42.092,72;4,21
09;MONCLOA-ARAVACA;ARAVACA;COL. ROSA LUXEMBURGO;40.765,95;4,08
09;MONCLOA-ARAVACA;ARAVACA;CAMINO BARRIAL;38.845,53;3,88
09;MONCLOA-ARAVACA;VALDEZARZA;COL. VALDEZARZA;37.993,72;3,80
09;MONCLOA-ARAVACA;VALDEMARIN;PARQUE DEL CEMENTERIO;36.751,31;3,68
09;MONCLOA-ARAVACA;ARAVACA;EL DISCO;28.414,37;2,84
09;MONCLOA-ARAVACA;CASA DE CAMPO;Pº ANICETO MARINAS;27.828,42;2,78
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;PARQUE DE FRANCOS RDGUEZ.;26.406,83;2,64
09;MONCLOA-ARAVACA;VALDEMARIN;VALDEMARIN OESTE;25.242,66;2,52
09;MONCLOA-ARAVACA;ARAVACA;CALLE CINCON LAGUNAS;23.798,65;2,38
09;MONCLOA-ARAVACA;VALDEMARIN;PROLONGACION VALDEMARIN;22.560,54;2,26
09;MONCLOA-ARAVACA;ARGUELLES;PZA. DE ESPAÑA;22.353,37;2,24
09;MONCLOA-ARAVACA;EL PLANTIO;PLANTACION COMPENSATORIA CALLE 30-PARQUE FORESTAL ESTACION DEL BARRIAL;21.537,12;2,15
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;LAS ISLAS;20.663,27;2,07
09;MONCLOA-ARAVACA;VALDEMARIN;MED. VALDEMARIN;16.965,54;1,70
09;MONCLOA-ARAVACA;ARAVACA;ROSAS DE ARAVACA;16.502,78;1,65
09;MONCLOA-ARAVACA;CASA DE CAMPO;RIBERA DEL MANZANARES - MARGEN DERECHA;14.863,24;1,49
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;PARQUE JUAN XXIII;14.741,02;1,47
09;MONCLOA-ARAVACA;VALDEZARZA;PARQUE BLAS DE OTERO;14.638,06;1,46
09;MONCLOA-ARAVACA;VALDEZARZA;Parque Luisa Carnés;14.351,97;1,44
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;A.V.C. FASE III;13.750,13;1,38
09;MONCLOA-ARAVACA;ARAVACA;LA HORCA;13.615,02;1,36
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;JARDINES ESCUADRON POLICIA MUNICIPAL;13.539,87;1,35
10;LATINA;LOS CARMENES;CUÑA VERDE LA LATINA;656.821,58;65,68
10;LATINA;LAS AGUILAS;PARQUE DE LAS CRUCES;452.894,53;45,29
10;LATINA;CUATRO VIENTOS;Z.F. PAU CARABANCHEL. UNIDAD III;275.581,94;27,56
10;LATINA;ALUCHE;PARQUE DE CERRO ALMODOVAR - 1ª - 2ª FASE;172.316,54;17,23
10;LATINA;ALUCHE;PARQUE ALUCHE;143.156,83;14,32
10;LATINA;CAMPAMENTO;COL. DEHESA DEL PPE.;55.726,78;5,57
10;LATINA;LUCERO;CAÑO ROTO - LOS CARMENES;48.625,92;4,86
10;LATINA;CUATRO VIENTOS;Z.A. PAU CARABANCHEL - UNIDAD III;41.127,78;4,11
10;LATINA;LAS AGUILAS;PERI 10/6 ALUCHE - POBLADOS;40.232,21;4,02
10;LATINA;ALUCHE;POBLADO DIRIGIDO LOS CARMENES;36.977,50;3,70
10;LATINA;LAS AGUILAS;POBLADO C - CARABANCHEL - ZONAS XIX-XXIV;36.926,61;3,69
10;LATINA;PUERTA DEL ANGEL;Z.A. PARQUE CARAMUEL;33.115,39;3,31
10;LATINA;CAMPAMENTO;METRO CIUDAD JARDIN;27.466,08;2,75
10;LATINA;LAS AGUILAS;PARQUE CASILDA DE BUSTOS;27.430,45;2,74
10;LATINA;CAMPAMENTO;Juan Carmona “Habichuela”;24.482,06;2,45
10;LATINA;LUCERO;PPI -14;22.317,55;2,23
10;LATINA;PUERTA DEL ANGEL;PARQUE CARAMUEL;22.184,18;2,22
10;LATINA;ALUCHE;Cuña Verde - Seseña 34 Posterior;21.550,58;2,16
10;LATINA;PUERTA DEL ANGEL;TERRIZOS ARBOLADO S. BENIGNO-SEPULVEDA;21.349,90;2,13
10;LATINA;LUCERO;COL. VIRGEN DE LOURDES;20.915,54;2,09
10;LATINA;LAS AGUILAS;JARDINES DEL POL. C. CARABANCHEL;19.033,48;1,90
10;LATINA;LAS AGUILAS;PAR GRAL. Gª ESCAMEZ;15.970,20;1,60
10;LATINA;PUERTA DEL ANGEL;COL. JUAN TORNERO;15.531,33;1,55
10;LATINA;ALUCHE;Parque Félix Cortés;15.078,25;1,51
10;LATINA;LUCERO;COL. ANTONIO BLASCO;12.450,49;1,25
10;LATINA;LAS AGUILAS;GRAL. FANJUL - STA. MARGARITA;12.166,27;1,22
10;LATINA;LAS AGUILAS;APARCAMIENTO GRAL SALIQUET;11.950,32;1,20
10;LATINA;CAMPAMENTO;CTRA. BOADILLA DEL MONTE DESDE LA N-V;11.220,91;1,12
10;LATINA;LOS CARMENES;Bº DE GOYA;10.909,68;1,09
10;LATINA;LAS AGUILAS;TERRIZOS ARBOLADO GRAL. ROMERO BASART A;10.223,06;1,02
10;LATINA;LOS CARMENES;CAMPO DE FUTBOL Bº DE GOYA;10.033,30;1,00
